CTUID,POLYID,sprawl,lower, median,upper
5550021,1,-0.04521,-0.1314,-0.04543,0.04162
5410010,2,0.2609,0.1738,0.2609,0.3468
5350091.02,3,1.027,0.9362,1.027,1.119
5800161.01,4,-0.3912,-0.4772,-0.3906,-0.3048
2050120,5,-1.08,-1.171,-1.08,-0.9913
4620659.06,6,0.05059,-0.03515,0.05086,0.1372
5500001.02,7,-0.3503,-0.4365,-0.3499,-0.2628
5050151.08,8,-0.6728,-0.7589,-0.6726,-0.5836
4620410.02,9,0.6551,0.5672,0.6549,0.7428
4620863.01,10,0.04549,-0.03921,0.04548,0.1319
5350128.02,11,1.452,1.363,1.452,1.542
6020100.01,12,0.1353,0.04909,0.1346,0.2217
5350412.15,13,-0.2811,-0.3689,-0.2814,-0.1916
4620734.05,14,-0.9598,-1.048,-0.9591,-0.8714
5350341.04,15,0.6298,0.5412,0.6303,0.7168
5390203.02,16,-0.1314,-0.2184,-0.1313,-0.04358
4620073,17,0.2737,0.1877,0.2738,0.3615
9350111.01,18,0.0874,5.61E-04,0.0873,0.1768
5350363.04,19,0.1889,0.1043,0.1886,0.2768
7050101.01,20,-1.39,-1.479,-1.39,-1.299
8050200,21,-1.581,-1.672,-1.58,-1.492
6020051.01,22,-0.6181,-0.705,-0.6181,-0.5307
5350513.01,23,-0.05363,-0.1385,-0.05411,0.03212
5220006,24,0.09925,0.01087,0.09884,0.1865
4620131,25,2,1.904,2.001,2.094
9330147.01,26,0.2897,0.2046,0.2896,0.3762
5350403.07,27,0.1779,0.09042,0.1781,0.264
9330187.14,28,0.5449,0.4575,0.544,0.6307
5350442.03,29,-0.2004,-0.287,-0.1999,-0.114
5350377.07,30,0.6504,0.5652,0.6503,0.7379
5550006.05,31,-0.05218,-0.1375,-0.05266,0.03425
9330203,32,0.4252,0.3387,0.4251,0.5123
4620781,33,-0.08415,-0.1703,-0.08406,0.002016
4620637.01,34,0.2095,0.1241,0.2096,0.2951
7050026,35,0.0893,0.001349,0.08889,0.1748
8350075.11,36,0.2266,0.1401,0.2268,0.3118
6020040,37,0.2319,0.1452,0.2312,0.3186
5620010,38,-0.09747,-0.1833,-0.09747,-0.01055
5210107,39,-1.453,-1.543,-1.453,-1.36
5350412.23,40,0.4561,0.3706,0.4556,0.5404
9330134,41,-0.6244,-0.7133,-0.6245,-0.5372
6020047,42,0.433,0.3431,0.4331,0.5211
5350140,43,0.4157,0.3276,0.4159,0.5007
4620648,44,0.4085,0.3219,0.408,0.4954
5350591.01,45,-0.1456,-0.2323,-0.1456,-0.05988
5350576.17,46,0.5723,0.4866,0.5717,0.6603
2050140,47,-1.238,-1.324,-1.238,-1.147
9330403.05,48,0.0814,-0.006667,0.08141,0.1691
9320005.01,49,0.1221,0.03598,0.1219,0.2087
5320014.01,50,0.01502,-0.06882,0.01481,0.1015
5320009.04,51,0.08794,-0.001158,0.08861,0.1763
5350311.05,52,1.473,1.382,1.474,1.561
5350244.02,53,0.02305,-0.06386,0.02372,0.1092
6020101.02,54,-0.01746,-0.1039,-0.01726,0.06822
3200007,55,-0.916,-1.003,-0.9159,-0.8291
9330116,56,-0.7208,-0.808,-0.7205,-0.635
5050103,57,0.4998,0.4132,0.4996,0.5861
6020102.02,58,0.2512,0.1644,0.2514,0.34
10006,59,0.1766,0.08958,0.1764,0.2644
4620515.04,60,0.4558,0.3696,0.4562,0.5418
5410013,61,0.02884,-0.05763,0.0288,0.1175
5350564.02,62,0.5262,0.4373,0.5263,0.6117
5390011,63,0.09516,0.009154,0.09456,0.1821
5410123.01,64,-0.1789,-0.2653,-0.1788,-0.09437
5350018,65,0.6536,0.5681,0.6535,0.7407
9330502.07,66,-0.1237,-0.21,-0.1238,-0.03673
5950023.01,67,-1.043,-1.132,-1.042,-0.9549
5050810.01,68,-0.1511,-0.2399,-0.1508,-0.06484
5370026.03,69,-0.001891,-0.08666,-0.001557,0.08449
5370003.01,70,0.3233,0.2372,0.3232,0.4101
5350442.04,71,0.08727,-0.001098,0.0873,0.1746
5350576.09,72,-0.008207,-0.09494,-0.008626,0.08006
7050005,73,0.03665,-0.05069,0.03669,0.1246
5350613.04,74,0.2159,0.13,0.2158,0.3029
4330009.02,75,-0.1552,-0.2422,-0.1553,-0.06817
6020045,76,0.5988,0.512,0.5982,0.6862
9350130.01,77,-0.02344,-0.1109,-0.02284,0.06114
4620283.01,78,0.571,0.4839,0.5709,0.6579
8350105.03,79,-1.308,-1.398,-1.308,-1.218
5900005,80,-0.327,-0.4135,-0.3271,-0.2401
5350411.24,81,0.5487,0.4599,0.5482,0.638
5350527.06,82,0.3284,0.242,0.3278,0.4151
9330028,83,0.02842,-0.05606,0.02804,0.1165
5370055,84,0.5728,0.4873,0.5726,0.66
5350030,85,0.8899,0.8031,0.8894,0.98
5350317.02,86,1.345,1.256,1.344,1.435
4330400.01,87,-1.021,-1.109,-1.02,-0.9327
5350279.02,88,0.3079,0.2195,0.3084,0.3959
4620416.02,89,0.1287,0.0429,0.1289,0.2139
5350576.06,90,0.1335,0.04721,0.1342,0.2208
5350029,91,0.9636,0.8749,0.9634,1.05
5350312.03,92,0.3202,0.2328,0.3213,0.407
9320009.01,93,0.1479,0.0611,0.1483,0.233
2050100,94,-0.6027,-0.6917,-0.6027,-0.5159
3050016.02,95,-1.315,-1.405,-1.314,-1.225
3100120.03,96,-0.9228,-1.011,-0.9232,-0.8348
8250072,97,0.1224,0.03594,0.1224,0.2077
5350442.06,98,-0.3896,-0.4786,-0.3892,-0.3017
5350304.02,99,0.2559,0.1695,0.2562,0.3401
6020113,100,0.03229,-0.05471,0.03258,0.1189
4080100,101,-0.6845,-0.7691,-0.6847,-0.599
5370211,102,-0.1256,-0.2113,-0.1255,-0.03743
10170.02,103,0.1523,0.06545,0.1524,0.2392
4620036,104,1.141,1.051,1.14,1.23
5590019.05,105,-0.07832,-0.1668,-0.07863,0.00695
4620237,106,1.333,1.244,1.333,1.423
8250074,107,0.04481,-0.04152,0.04486,0.1318
5050170.04,108,0.185,0.09864,0.1849,0.2726
9300006,109,0.1659,0.07927,0.1658,0.2546
5350800.02,110,-0.654,-0.74,-0.6531,-0.5652
9330504.13,111,-0.009677,-0.09547,-0.00987,0.07945
8250005,112,-0.2348,-0.3221,-0.2344,-0.1494
5350362.02,113,0.1697,0.08157,0.1702,0.2564
4210900,114,-1.214,-1.301,-1.214,-1.126
5370003.03,115,0.3065,0.2212,0.306,0.3947
9330504.07,116,0.3141,0.2288,0.3141,0.4
3200018,117,-1.443,-1.533,-1.442,-1.35
5500001.06,118,-0.5312,-0.6206,-0.5313,-0.4435
4620117,119,1.365,1.272,1.365,1.455
2050121.07,120,-0.5588,-0.6451,-0.5593,-0.4729
5350576.35,121,0.1561,0.06973,0.1568,0.242
5680004.04,122,0.04781,-0.0383,0.04723,0.1357
5800001.02,123,-0.006235,-0.09271,-0.0062,0.08068
8350059,124,0.007413,-0.07944,0.007709,0.09371
9330221.01,125,-0.1927,-0.2788,-0.1922,-0.1075
4330300.01,126,-1.088,-1.175,-1.088,-0.9997
5050133,127,-0.02206,-0.1074,-0.02236,0.06504
8350151.02,128,-0.3176,-0.4048,-0.3174,-0.2331
4620584,129,0.3511,0.2644,0.3513,0.4372
4620286,130,0.6162,0.5303,0.6166,0.7029
5900004,131,-0.4336,-0.5206,-0.4337,-0.3464
5350576.33,132,0.2992,0.2122,0.2987,0.3857
4620637.02,133,0.134,0.0466,0.1344,0.2218
5370222.03,134,0.413,0.3253,0.4133,0.5011
5050007.02,135,1.011,0.9213,1.01,1.102
5350820.01,136,0.2375,0.1499,0.2372,0.3283
5370086,137,-0.5099,-0.5985,-0.5093,-0.425
4620462.01,138,0.006606,-0.07932,0.006828,0.0917
4420011,139,-0.1092,-0.193,-0.1094,-0.02386
5050610.02,140,-0.2345,-0.3225,-0.2342,-0.1485
8250200.02,141,-1.411,-1.501,-1.41,-1.323
9330100.01,142,0.4125,0.3268,0.4117,0.4991
4500012,143,-0.01939,-0.1043,-0.01969,0.06957
8250022,144,-0.07926,-0.1662,-0.07997,0.008098
5350500.02,145,-0.1788,-0.2666,-0.1786,-0.0923
5350412.14,146,-0.149,-0.2376,-0.1489,-0.06044
10003.02,147,0.07586,-0.008315,0.07578,0.1629
7250104,148,-1.487,-1.578,-1.486,-1.396
9330142.02,149,0.2881,0.2014,0.2882,0.3734
6020595.01,150,-1.339,-1.429,-1.339,-1.248
3050001,151,-0.7886,-0.876,-0.7886,-0.7004
8350163.05,152,-0.4957,-0.5829,-0.4958,-0.4085
8250052.02,153,0.1036,0.01585,0.1038,0.1887
4620881.02,154,0.6086,0.5229,0.6083,0.6974
5350366,155,0.358,0.2704,0.358,0.4457
8350120.01,156,0.09107,0.005428,0.09082,0.1783
9300010,157,0.1973,0.11,0.1976,0.2834
8250038.07,158,0.3109,0.2231,0.3111,0.3976
9330282.02,159,0.2364,0.1473,0.2364,0.3248
4620034,160,1.11,1.023,1.11,1.201
5050127,161,-0.8652,-0.9505,-0.8653,-0.7762
9250002,162,-0.4857,-0.5736,-0.4857,-0.4011
5410001.01,163,-0.2697,-0.3559,-0.2697,-0.1836
5350363.05,164,0.8071,0.7192,0.8068,0.8954
9300016,165,-0.9234,-1.013,-0.9222,-0.8359
4620450,166,-0.07048,-0.1561,-0.07059,0.01453
4620258,167,1.049,0.9632,1.048,1.14
8350005.08,168,0.1112,0.02481,0.1116,0.1976
5390018.02,169,-0.1215,-0.2094,-0.1214,-0.03631
5050160.03,170,-0.6671,-0.7551,-0.667,-0.5806
8250050.14,171,-0.2878,-0.3728,-0.288,-0.1995
5680004.03,172,0.03269,-0.05471,0.03273,0.1203
4210023,173,0.3665,0.2784,0.3662,0.4536
5050125.05,174,0.1154,0.02847,0.1157,0.2008
9330027.01,175,0.2235,0.138,0.2239,0.3095
6020141.02,176,0.2655,0.1781,0.2652,0.3498
8350014,177,0.1823,0.0961,0.1821,0.2689
5320007,178,0.2352,0.1468,0.2357,0.3212
5050056,179,0.6831,0.5963,0.6828,0.77
4620675,180,-0.2279,-0.3141,-0.2283,-0.1424
9330149.05,181,0.2581,0.1704,0.2586,0.3444
4620282,182,0.4462,0.3586,0.4466,0.534
8350075.02,183,0.2711,0.1874,0.2708,0.3558
9350111.02,184,0.05809,-0.03048,0.05791,0.1448
4620880,185,0.4321,0.346,0.4316,0.5185
5350171,186,0.5869,0.5022,0.5866,0.6735
4620658.02,187,0.3081,0.2205,0.3083,0.3942
4210846.02,188,-0.9046,-0.9951,-0.904,-0.8168
5050141.08,189,-0.3572,-0.4436,-0.3571,-0.2714
4210320.03,190,-0.342,-0.4312,-0.3419,-0.2567
4080003.01,191,-0.1562,-0.2433,-0.1564,-0.0701
5590037,192,0.1528,0.06698,0.1522,0.2418
4620264.01,193,0.3957,0.3089,0.3951,0.4847
8250203,194,-1.469,-1.56,-1.469,-1.378
9350124,195,0.006636,-0.07944,0.006286,0.09327
9150013,196,-0.384,-0.4717,-0.3838,-0.2967
4620383.01,197,-0.09397,-0.1792,-0.09386,-0.009027
4620197,198,0.8141,0.7267,0.8139,0.9032
4210290.01,199,-0.1525,-0.2382,-0.153,-0.06642
9330186.08,200,0.475,0.3889,0.4749,0.5606
4620059,201,0.7857,0.7002,0.7855,0.8758
4620807.01,202,-0.6773,-0.7657,-0.6769,-0.5899
8250205.03,203,-0.7141,-0.8015,-0.7133,-0.6272
5350502.02,204,0.3072,0.2203,0.3074,0.3956
5350068,205,0.6244,0.5395,0.6237,0.7133
5050904,206,-1.496,-1.589,-1.496,-1.405
5370222.02,207,0.166,0.0802,0.1655,0.2544
5350357.01,208,0.5761,0.4885,0.5757,0.6643
4620511.01,209,0.03197,-0.05343,0.03151,0.1182
5350119,210,0.5666,0.4769,0.5663,0.6558
5410002.1,211,0.1866,0.09886,0.1863,0.2741
5350106,212,0.143,0.05602,0.1432,0.2288
5350410.13,213,-0.03209,-0.1195,-0.03179,0.05457
5050131.01,214,0.2433,0.1569,0.2431,0.3306
5350024,215,0.9678,0.8778,0.9672,1.058
5620007,216,-0.09657,-0.1841,-0.09712,-0.007754
5590003.02,217,-0.5266,-0.6148,-0.5264,-0.438
5350365,218,0.3447,0.2585,0.3447,0.4288
4210037,219,0.5669,0.4812,0.5674,0.6543
4210027,220,0.4411,0.3543,0.4403,0.5289
4420205.01,221,-0.002076,-0.09237,-0.001486,0.08597
9330400.02,222,-1.032,-1.121,-1.032,-0.9439
5410131.01,223,-0.3029,-0.3878,-0.3025,-0.2166
4620521.05,224,0.2725,0.1884,0.2724,0.3565
5350810.01,225,0.6128,0.5249,0.6131,0.6984
4210028,226,-0.451,-0.5388,-0.4509,-0.3628
9150019.01,227,-0.8848,-0.9743,-0.8849,-0.7951
8250001.25,228,0.3928,0.308,0.3929,0.4809
4620652.01,229,0.113,0.02499,0.1132,0.2017
4620279,230,0.4208,0.3339,0.4209,0.5077
5390102.02,231,-1.017,-1.107,-1.017,-0.9266
5620003,232,-0.06208,-0.149,-0.06158,0.02578
4620580.01,233,0.2486,0.1632,0.2489,0.3369
9700005,234,0.02585,-0.06027,0.02573,0.112
4620688.03,235,0.09246,0.006562,0.09242,0.1773
5350353.04,236,0.6435,0.555,0.6431,0.7298
5750101,237,-1.285,-1.376,-1.284,-1.196
8250049.02,238,0.1439,0.05544,0.1441,0.2286
3200015,239,-0.8053,-0.8951,-0.8048,-0.717
4620593.02,240,0.8853,0.7958,0.8854,0.972
5590140,241,-1.273,-1.362,-1.273,-1.185
9330225.01,242,0.3678,0.2828,0.3676,0.4562
5350377.04,243,0.6714,0.5826,0.671,0.7608
9330143.01,244,0.3819,0.2964,0.382,0.4683
9330260.09,245,-0.7032,-0.7895,-0.7027,-0.6173
9300028,246,-1.266,-1.357,-1.266,-1.176
5370212,247,0.1945,0.1086,0.1939,0.2822
9330143.02,248,0.2656,0.1781,0.2654,0.3518
5350410.02,249,0.5911,0.5057,0.591,0.6789
5370130.02,250,-0.197,-0.2825,-0.1972,-0.1109
3100026,251,-1.242,-1.329,-1.241,-1.156
9330184.06,252,0.2397,0.1544,0.2399,0.3259
5050021,253,0.167,0.08073,0.1671,0.2502
5050711,254,-0.4605,-0.5478,-0.4607,-0.3749
5410022,255,-0.8718,-0.9608,-0.8713,-0.7825
5320002.01,256,-0.1617,-0.2469,-0.1617,-0.07658
5390241,257,-1.236,-1.324,-1.236,-1.149
