GEOUID,PROV,EMP15
1001,10,124915
10010165,10,290
10010166,10,195
10010167,10,210
10010168,10,245
10010169,10,225
10010170,10,235
10010171,10,280
10010172,10,115
10010173,10,525
10010174,10,580
10010175,10,420
10010176,10,305
10010180,10,285
10010181,10,205
10010182,10,135
10010187,10,380
10010191,10,300
10010192,10,125
10010193,10,300
10010194,10,240
10010195,10,310
10010196,10,290
10010198,10,165
10010199,10,110
10010200,10,225
10010201,10,245
10010202,10,320
10010203,10,125
10010204,10,290
10010206,10,165
10010207,10,710
10010208,10,585
10010209,10,245
10010210,10,225
10010211,10,225
10010212,10,255
10010213,10,290
10010214,10,155
10010215,10,150
10010216,10,220
10010217,10,205
10010218,10,95
10010219,10,290
10010220,10,85
10010221,10,315
10010222,10,305
10010223,10,255
10010224,10,300
10010225,10,155
10010226,10,80
10010227,10,245
10010228,10,215
10010229,10,165
10010230,10,265
10010231,10,235
10010232,10,190
10010233,10,145
10010234,10,245
10010235,10,245
10010236,10,135
10010237,10,215
10010238,10,280
10010239,10,325
10010240,10,310
10010241,10,105
10010242,10,350
10010243,10,255
10010244,10,355
10010245,10,330
10010246,10,320
10010247,10,165
10010248,10,265
10010249,10,275
10010250,10,250
10010251,10,205
10010252,10,260
10010253,10,110
10010254,10,400
10010255,10,185
10010256,10,175
10010257,10,330
10010258,10,245
10010259,10,195
10010260,10,230
10010261,10,210
10010262,10,305
10010263,10,250
10010264,10,240
10010265,10,235
10010266,10,420
10010267,10,425
10010268,10,145
10010269,10,560
10010270,10,410
10010271,10,255
10010272,10,245
10010273,10,690
10010276,10,95
10010277,10,135
10010278,10,105
10010279,10,440
10010280,10,110
10010281,10,140
10010282,10,110
10010283,10,195
10010284,10,180
10010285,10,270
10010286,10,205
10010290,10,265
10010294,10,225
10010295,10,200
10010296,10,230
10010297,10,235
10010298,10,360
10010299,10,395
10010300,10,170
10010301,10,255
10010302,10,170
10010303,10,120
10010304,10,290
10010305,10,235
10010306,10,270
10010307,10,205
10010308,10,105
10010309,10,270
10010310,10,255
10010334,10,1000
10010337,10,260
10010338,10,230
10010339,10,225
10010340,10,255
10010341,10,135
10010342,10,245
10010343,10,225
10010344,10,345
10010345,10,535
10010346,10,290
10010348,10,695
10010356,10,85
10010357,10,115
10010457,10,190
10010458,10,330
10010459,10,210
10010460,10,330
10010461,10,195
10010482,10,335
10010484,10,375
10010485,10,200
10010486,10,600
10010488,10,345
10010489,10,95
10010490,10,225
10010491,10,465
10010492,10,275
10010493,10,310
10010494,10,285
10010495,10,205
10010496,10,210
10010497,10,235
10010498,10,300
10010499,10,115
10010500,10,285
10010501,10,155
10010502,10,145
10010503,10,85
10010504,10,185
10010505,10,290
10010506,10,285
10010507,10,70
10010508,10,185
10010509,10,125
10010510,10,125
10010511,10,85
10010512,10,215
10010513,10,195
10010514,10,120
10010515,10,155
10010516,10,155
10010517,10,355
10010518,10,90
10010519,10,275
10010520,10,265
10010521,10,175
10010522,10,185
10010523,10,180
10010524,10,115
10010525,10,90
10010526,10,115
10010527,10,150
10010529,10,305
10010530,10,55
10010531,10,15
10010532,10,130
10010533,10,90
10010534,10,175
10010535,10,240
10010536,10,145
10010537,10,270
10010538,10,250
10010539,10,205
10010540,10,280
10010541,10,240
10010542,10,165
10010543,10,235
10010544,10,155
10010546,10,175
10010547,10,150
10010548,10,260
10010549,10,255
10010550,10,145
10010551,10,190
10010552,10,105
10010553,10,125
10010554,10,120
10010555,10,260
10010556,10,130
10010557,10,105
10010558,10,130
10010559,10,220
10010560,10,235
10010561,10,120
10010562,10,230
10010563,10,160
10010564,10,155
10010565,10,155
10010566,10,285
10010567,10,95
10010568,10,270
10010569,10,340
10010570,10,215
10010571,10,220
10010572,10,295
10010573,10,540
10010574,10,205
10010575,10,580
10010576,10,340
10010577,10,145
10010578,10,270
10010579,10,485
10010580,10,295
10010581,10,205
10010582,10,345
10010583,10,315
10010584,10,520
10010585,10,290
10010586,10,195
10010587,10,205
10010588,10,370
10010589,10,580
10010590,10,385
10010591,10,325
