CTUID,POLYID,sprawl,lower, median,upper
2050002,1,-0.6195,-0.6992,-0.6193,-0.5409
2050003,2,-0.2677,-0.3434,-0.2671,-0.1912
5350422.06,3,0.13,0.05424,0.1297,0.206
2050005,4,0.02447,-0.054,0.02486,0.1025
2050006,5,0.1762,0.1003,0.176,0.2529
5370140.03,6,-0.3082,-0.3869,-0.308,-0.2303
5370140.04,7,-0.2676,-0.3447,-0.2673,-0.1897
5410002.07,8,0.2199,0.1434,0.22,0.2972
5550204.01,9,-0.1858,-0.2632,-0.1863,-0.1082
5550204.02,10,-0.2146,-0.2929,-0.2141,-0.1381
5320202.11,11,0.02875,-0.04985,0.02865,0.1058
5320015.02,12,-0.09866,-0.1752,-0.09865,-0.02203
5350420.13,13,0.1679,0.08848,0.1679,0.2464
5370001.08,14,0.3449,0.2673,0.3453,0.4206
10002,15,0.02534,-0.05225,0.02547,0.1005
5370001.09,16,0.01632,-0.06135,0.01697,0.09114
5370120.02,17,-1.243,-1.321,-1.243,-1.163
10006,18,0.1565,0.08077,0.1567,0.2342
10007,19,0.4146,0.337,0.4138,0.4941
10008,20,-0.5412,-0.6185,-0.541,-0.4652
10009,21,-0.375,-0.4522,-0.3747,-0.2977
10010,22,0.1487,0.07187,0.1484,0.2274
10011,23,0.5745,0.4955,0.574,0.654
10012,24,-0.09558,-0.1729,-0.09539,-0.02062
10013,25,-0.04332,-0.1201,-0.04325,0.03269
10014,26,-0.009523,-0.08681,-0.009486,0.0672
5350422.03,27,-0.07539,-0.1559,-0.07509,7.01E-04
5350422.04,28,0.4144,0.3375,0.4142,0.4907
5350422.05,29,0.3805,0.3034,0.3804,0.4556
2050001,30,-0.5266,-0.6054,-0.5263,-0.4496
2050023,31,0.1618,0.08569,0.162,0.2389
2050024,32,0.258,0.1808,0.258,0.3349
5350424.07,33,0.343,0.2662,0.3431,0.4207
3100014,34,-0.2302,-0.3063,-0.2298,-0.1524
2050018,35,0.09112,0.01268,0.09116,0.1665
2050019,36,0.6109,0.5323,0.6104,0.689
2050020,37,0.08737,0.01224,0.08707,0.1633
2050021,38,0.3399,0.2624,0.3395,0.4181
2050022,39,-0.04475,-0.1207,-0.04512,0.03382
2050007,40,-0.1786,-0.2556,-0.1789,-0.1016
2050008,41,0.5746,0.4954,0.5749,0.6531
2050009,42,0.3453,0.2676,0.3451,0.4245
2050010,43,0.6353,0.5583,0.6352,0.715
2050011,44,0.7735,0.6946,0.7736,0.8512
2050012,45,0.495,0.4161,0.4952,0.5729
2050101,46,-0.04085,-0.1178,-0.04104,0.03632
2050102,47,0.2247,0.1489,0.2245,0.3016
2050103,48,-0.04149,-0.1197,-0.04105,0.03707
5350424.08,49,0.2123,0.1336,0.2126,0.2887
5800132.01,50,-1.457,-1.539,-1.457,-1.377
2050027,51,-0.1586,-0.2359,-0.1586,-0.07894
2050100,52,-0.522,-0.5993,-0.5224,-0.4447
5590002.01,53,-0.09652,-0.174,-0.09698,-0.01921
5800132.02,54,-1.521,-1.602,-1.521,-1.438
2050107,55,-0.1473,-0.224,-0.1471,-0.06964
2050108,56,-0.1403,-0.2164,-0.14,-0.06352
2050109,57,0.08634,0.00732,0.0866,0.1625
2050013,58,0.227,0.1498,0.2266,0.3054
2050014,59,0.01652,-0.05915,0.01613,0.09201
