POLY_ID,index,mean,sd,lower,median ,upper,sample,hotspot
1,index[1],-0.0355,0.0656,-0.164,-0.03378,0.0889,4000,0
2,index[2],0.2654,0.06567,0.1352,0.2647,0.3962,4000,0
3,index[3],1.032,0.06662,0.8996,1.032,1.166,4000,0
4,index[4],-0.4031,0.0663,-0.5345,-0.4017,-0.2717,4000,0.0042
5,index[5],-1.107,0.06734,-1.241,-1.108,-0.9755,4000,1
6,index[6],0.05896,0.06533,-0.06934,0.05918,0.1873,4000,0
7,index[7],-0.3524,0.06481,-0.4796,-0.3525,-0.2233,4000,0
8,index[8],-0.6933,0.0651,-0.8172,-0.6934,-0.5664,4000,1
9,index[9],0.5826,0.06576,0.4509,0.582,0.7118,4000,0
10,index[10],0.05524,0.06564,-0.07314,0.05494,0.1847,4000,0
11,index[11],1.449,0.06764,1.317,1.45,1.58,4000,0
12,index[12],0.1435,0.06553,0.01172,0.1436,0.2704,4000,0
13,index[13],-0.2842,0.06534,-0.4146,-0.2846,-0.1612,4000,0
14,index[14],-0.9807,0.06552,-1.112,-0.9806,-0.8538,4000,1
15,index[15],0.6178,0.06752,0.4828,0.618,0.7466,4000,0
16,index[16],-0.1328,0.06606,-0.2617,-0.1332,5.08E-04,4000,0
17,index[17],0.2625,0.06512,0.1347,0.262,0.388,4000,0
18,index[18],0.0955,0.06462,-0.03049,0.09545,0.2236,4000,0
19,index[19],0.1816,0.06525,0.06032,0.1791,0.3093,4000,0
20,index[20],-1.411,0.06701,-1.544,-1.411,-1.28,4000,1
21,index[21],-1.626,0.06633,-1.753,-1.626,-1.493,4000,1
22,index[22],-0.6183,0.06471,-0.7454,-0.6175,-0.4912,4000,0.999
23,index[23],-0.06048,0.06587,-0.1912,-0.0609,0.06806,4000,0
24,index[24],0.1035,0.06462,-0.0226,0.1026,0.2292,4000,0
25,index[25],1.946,0.06685,1.817,1.946,2.081,4000,0
26,index[26],0.2725,0.06421,0.1479,0.273,0.3964,4000,0
27,index[27],0.1735,0.06466,0.04744,0.1746,0.3041,4000,0
28,index[28],0.5565,0.06444,0.4317,0.5556,0.6848,4000,0
