POLY_ID,CTUID,CTNAME,CMAUID,CMANAME,CMATYPE,CMAPUID,PRUID,PRNAME,SPRAWL,PROB,POPDEN,EMPDEN,VC_POPDEN,VC_EMPDEN,LANDMIX,AVGDA,SMLDA,INTERDEN,PERC4INTER
1,5550021,21,555,London,B,35555,35,Ontario,-0.0355,0,4918.591775,279867.872,0.277626884,0.273970965,0.477502769,0.109609641,28.17295773,174.4828265,17.64705882
2,5410010,10,541,Kitchener - Cambridge - Waterloo,B,35541,35,Ontario,0.2654,0,8696.594818,504402.4994,0.423991088,0.38481271,0.63819363,0.077257267,71.61826147,224.8979382,25.17985612
3,5350091.02,91.02,535,Toronto,B,35535,35,Ontario,1.032,0,25469.93123,1579135.736,0.451150016,0.436449763,0.478658528,0.026376127,99.99972212,303.3045788,45
4,5800161.01,161.01,580,Greater Sudbury / Grand Sudbury,B,35580,35,Ontario,-0.4031,0.0042,2370.363725,141984.7503,0.573862779,0.644225,0.491895624,0.260086735,4.976078166,80.74229542,23.01587302
5,2050120,120,205,Halifax,B,12205,12,Nova Scotia / Nouvelle-Écosse,-1.107,1,223.2883684,12883.73842,1.574769878,1.334558331,0.188163519,2.465421775,0.961891007,28.70778328,3.773584906
6,4620659.06,659.06,462,Montréal,B,24462,24,Quebec / Québec,0.05896,0,5940.926526,335662.3487,0.219966541,0.331427159,0.229876479,0.09955156,43.21873787,199.4659144,10.07194245
7,5500001.02,1.02,550,Guelph,B,35550,35,Ontario,-0.3524,0,2495.269179,171924.0464,0.614769887,0.57907751,0.590131018,0.247122136,10.53700389,63.64169953,11.56069364
8,5050151.08,151.08,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,-0.6933,1,1082.11339,77479.31651,0.700370376,0.71719999,0.188485072,1.287064787,0,25.25125412,23.84615385
9,4620410.02,410.02,462,Montréal,B,24462,24,Quebec / Québec,0.5826,0,18584.10549,836284.7472,0.679080508,0.662779114,0.601965205,0.061213592,36.98233218,91.48295043,28.57142857
10,4620863.01,863.01,462,Montréal,B,24462,24,Quebec / Québec,0.05524,0,5983.746777,332097.9461,0.578206078,0.777029891,0.560885771,0.078999649,44.90456847,242.315725,26.11940299
11,5350128.02,128.02,535,Toronto,B,35535,35,Ontario,1.449,0,39744.53007,2805963.823,0.862470923,0.88714226,0.298243326,0.023329589,100,376.2508587,26.58227848
12,6020100.01,100.01,602,Winnipeg,B,46602,46,Manitoba,0.1435,0,6629.507183,511797.9546,0.285757338,0.347406024,0.464168192,0.131274601,39.19468626,149.0877022,45.25547445
13,5350412.15,412.15,535,Toronto,B,35535,35,Ontario,-0.2842,0,2981.288499,187821.1754,0.460761481,0.461884215,0.449774065,0.227460335,9.756345971,73.63921289,20.89552239
14,4620734.05,734.05,462,Montréal,B,24462,24,Quebec / Québec,-0.9807,1,369.123611,27979.56971,1.377756105,1.392685327,0.440804144,2.54657238,0.821937147,8.010767792,20.58823529
15,5350341.04,341.04,535,Toronto,B,35535,35,Ontario,0.6178,0,16316.25256,879446.0132,0.353770397,0.326169078,0.527069371,0.038804388,99.99989598,228.251063,27.41935484
16,5390203.02,203.02,539,St. Catharines - Niagara,B,35539,35,Ontario,-0.1328,0,4187.879783,270955.822,0.43635408,0.569279495,0.545139587,0.138017261,25.8154065,121.9654211,11.88118812
17,4620073,73,462,Montréal,B,24462,24,Quebec / Québec,0.2625,0,9359.63196,449262.3341,0.882723092,0.743503524,0.580413901,0.066188674,15.98175062,317.2748236,42.85714286
18,9350111.01,111.01,935,Victoria,B,59935,59,British Columbia / Colombie-Britannique,0.0955,0,6275.606288,365867.8466,0.597137621,0.597665211,0.681745237,0.08887584,52.05408225,177.213515,25.3968254
19,5350363.04,363.04,535,Toronto,B,35535,35,Ontario,0.1816,0,7949.756835,444391.4071,0.785705042,NA,0.665359818,0.075977204,75.84809802,172.141807,18.18181818
20,7050101.01,101.01,705,Regina,B,47705,47,Saskatchewan,-1.411,1,23.57125679,1826.772398,1.195414096,1.196323173,0.019189116,22.42373322,0.044816569,51.48009832,30.11363636
21,8050200,200,805,Medicine Hat,K,48805,48,Alberta,-1.626,1,1.331339891,97.58721404,1.761944902,1.626424629,0.487190559,516.5472854,0,0,0
22,6020051.01,51.01,602,Winnipeg,B,46602,46,Manitoba,-0.6183,0.999,1212.407952,81837.53676,0.641323932,0.700054803,0.426008417,0.497003802,7.246391728,35.92959003,26.4
23,5350513.01,513.01,535,Toronto,B,35535,35,Ontario,-0.06048,0,4918.705033,300041.007,0.759781109,0.698464089,0.60633506,0.15607093,15.95446556,112.4844683,18.98734177
24,5220006,6,522,Belleville,K,35522,35,Ontario,0.1035,0,6694.406521,365514.5961,0.286795707,0.372896373,0.521087207,0.077975577,58.78192958,213.3535187,37.15846995
25,4620131,131,462,Montréal,B,24462,24,Quebec / Québec,1.946,0,75718.14387,3838909.894,0.382168964,0.46011152,0.303205068,0.008145934,99.99919171,613.8031444,56
26,9330147.01,147.01,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0.2725,0,9410.807934,534533.8907,0.685634773,0.757498058,0.308466188,0.114218544,39.5825038,195.5315891,21.89054726
27,5350403.07,403.07,535,Toronto,B,35535,35,Ontario,0.1735,0,7735.78782,466468.0055,0.493770769,0.564210497,0.487349362,0.093358253,37.0113323,191.7345224,38.54748603
28,9330187.14,187.14,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0.5565,0,13659.93034,908385.3673,0.444946639,0.325739812,0.339954189,0.062298996,99.99999343,357.1486133,20.2247191
29,5350442.03,442.03,535,Toronto,B,35535,35,Ontario,-0.197,0,3469.936053,239078.594,0.541343788,0.528448576,0.59799236,0.182424122,14.03720355,91.97126777,17.21854305
30,5350377.07,377.07,535,Toronto,B,35535,35,Ontario,0.6355,0,16696.80199,896618.2669,0.145345364,0.167684205,0.303640196,0.051526752,99.99984153,184.3702483,24.56140351
