CTUID,CTNAME,PRUID,PRNAME,CMAUID,CMAPUID,CMANAME,CMATYPE,LANDMIX,VC_EMPDEN,VC_POPDEN,AVGDA,SMLDA,POPDEN,EMPDEN,INTERDEN,PERC4INTER,SPRAWL
2050002,2,12,Nova Scotia / Nouvelle-Écosse,205,12205,Halifax,B,0.38830408,1.017822791,0.918842608,0.548222984,0,1255.369152,586.7442196,23.10495373,7.01754386,-0.6367
2050003,3,12,Nova Scotia / Nouvelle-Écosse,205,12205,Halifax,B,0.618201417,0.977794747,0.844137116,0.189736709,3.458671945,3114.842685,1465.188268,48.48824484,19.56521739,-0.2741
5350422.06,422.06,35,Ontario,535,35535,Toronto,B,0.439289662,0.390624331,0.43088396,0.074278557,15.57940212,7016.829891,3163.766355,107.7026844,25,0.126
2050005,5,12,Nova Scotia / Nouvelle-Écosse,205,12205,Halifax,B,0.242733253,0.41068822,0.407283977,0.102789587,0,5863.110103,2529.439093,132.9576959,29.26829268,0.01165
2050006,6,12,Nova Scotia / Nouvelle-Écosse,205,12205,Halifax,B,0.587150934,0.714000675,0.562399597,0.060389723,27.09900289,7401.921629,3654.831869,170.3222618,34.72222222,0.189
5370140.03,140.03,35,Ontario,537,35537,Hamilton,B,0.397864408,0.493981355,0.48691053,0.310104768,4.846403856,2715.569698,1590.860201,26.51433668,17.56756757,-0.3054
5370140.04,140.04,35,Ontario,537,35537,Hamilton,B,0.603763814,0.671783684,0.605661427,0.20537156,0,2949.126287,1781.324215,43.82301031,18.51851852,-0.2604
5410002.07,2.07,35,Ontario,541,35541,Kitchener - Cambridge - Waterloo,B,0.48520495,0.24275748,0.2282796,0.075713035,0,7960.680348,4292.523717,82.84870951,17.39130435,0.2238
5550204.01,204.01,35,Ontario,555,35555,London,B,0.661476692,0.480244966,0.459120963,0.14356118,7.676152923,3725.763466,1745.771383,51.37182625,37.28813559,-0.1902
5550204.02,204.02,35,Ontario,555,35555,London,B,0.584592758,0.524236675,0.479552908,0.203220218,3.34866284,3592.865239,1630.883849,55.53440694,11.39240506,-0.2348
5320202.11,202.11,35,Ontario,532,35532,Oshawa,B,0.345953575,0.598982792,0.57188542,0.200695229,2.232837597,5665.306571,3126.631375,66.43572643,17.5,0.02225
5320015.02,15.02,35,Ontario,532,35532,Oshawa,B,0.450237234,0.449038694,0.485213968,0.180647712,5.707581558,4511.543452,2158.898093,38.74945296,20,-0.1103
5350420.13,420.13,35,Ontario,535,35535,Toronto,B,0.444203478,0.574392177,0.540543038,0.094908904,15.04606076,7335.98187,3793.110913,85.60840602,24.61538462,0.1715
5370001.08,1.08,35,Ontario,537,35537,Hamilton,B,0.060353218,0.283132368,0.258757941,0.074065681,19.97718888,9835.11435,5115.579611,115.513088,18.18181818,0.3529
10002,2,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1,10001,St. John's,B,0.220276706,0.402365651,0.340251714,0.077485826,21.46347689,5856.554943,2594.022793,77.43351621,10,0.01257
5370001.09,1.09,35,Ontario,537,35537,Hamilton,B,0.481206616,0.748707125,0.654984998,0.13359273,3.956725749,5696.417756,2788.32538,64.8737896,3.846153846,1.54E-04
5370120.02,120.02,35,Ontario,537,35537,Hamilton,B,0.033097383,0.498405771,0.411123983,7.888898185,0,68.54569388,37.86967369,2.123236935,14.92537313,-1.241
10006,6,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1,10001,St. John's,B,0.506840022,0.553096995,0.535110805,0.059312306,35.88374132,6994.453118,3697.136892,221.5873577,23.91304348,0.1815
10007,7,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1,10001,St. John's,B,0.590576478,0.441381385,0.425993459,0.041855794,54.73622793,10378.49156,6068.455013,487.3877254,25.49019608,0.4682
10008,8,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1,10001,St. John's,B,0.633622845,0.399772277,0.510085958,0.526443797,0,1515.831328,774.0617371,37.0409911,12.82051282,-0.5417
10009,9,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1,10001,St. John's,B,0.553598916,NA,NA,0.225625041,0,2255.955274,1263.157668,132.963965,26.66666667,-0.3527
10010,10,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1,10001,St. John's,B,0.618494123,0.209472034,0.189761815,0.082696119,0,6981.38366,3587.431558,217.6643866,25.92592593,0.1656
10011,11,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1,10001,St. John's,B,0.109728722,0.160946033,0.12745963,0.032638897,100,13644.25179,7046.806686,296.1701361,43.10344828,0.6147
10012,12,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1,10001,St. John's,B,0.679342793,0.310908964,0.541883708,0.09449703,21.46459149,4620.95653,1896.003157,109.3508797,11.29032258,-0.1045
10013,13,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1,10001,St. John's,B,0.513578537,0.406699393,0.369453239,0.088401232,0,4926.401904,2488.653086,115.9486097,19.51219512,-0.03818
10014,14,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1,10001,St. John's,B,0.535699311,0.312306055,0.279331912,0.100251739,0,5582.613031,2327.474164,101.4113743,6.557377049,-0.0331
5350422.03,422.03,35,Ontario,535,35535,Toronto,B,0.467662871,NA,NA,1.458013077,0,4795.567415,2445.108386,53.49746258,19.23076923,-0.1028
5350422.04,422.04,35,Ontario,535,35535,Toronto,B,0.273208034,NA,NA,0.346505059,0,11416.86073,5714.202287,124.0963123,11.62790698,0.3882
5350422.05,422.05,35,Ontario,535,35535,Toronto,B,0.152240841,0.823101262,0.753745799,0.31847752,0,11131.08391,5196.599119,89.48826278,24.56140351,0.3356
2050001,1,12,Nova Scotia / Nouvelle-Écosse,205,12205,Halifax,B,0.439928284,0.792535278,0.912214446,0.333877133,1.985257642,1655.014296,750.9178102,32.09050471,4,-0.5469
2050023,23,12,Nova Scotia / Nouvelle-Écosse,205,12205,Halifax,B,0.814825182,0.345246258,0.415123692,0.088048312,19.9503102,7453.700116,3301.758758,163.8710735,18.81188119,0.1617
2050024,24,12,Nova Scotia / Nouvelle-Écosse,205,12205,Halifax,B,0.538441428,0.349287096,0.339609225,0.079500505,21.01857695,8433.336948,4591.16581,92.62376851,41.97530864,0.27
5350424.07,424.07,35,Ontario,535,35535,Toronto,B,0.020888296,0.196439105,0.219532362,0.169743341,13.21748865,9902.008478,5249.101353,91.90345803,23.07692308,0.3403
3100014,14,13,New Brunswick / Nouveau-Brunswick,310,13310,Saint John,B,0.584005981,0.458785875,0.528807276,0.132318145,0,3385.779024,1617.314088,83.13296712,14.54545455,-0.2368
2050018,18,12,Nova Scotia / Nouvelle-Écosse,205,12205,Halifax,B,0.729437523,0.401630798,0.321556853,0.093366395,6.878433808,6326.330422,3132.818818,183.8634406,19.41747573,0.106
2050019,19,12,Nova Scotia / Nouvelle-Écosse,205,12205,Halifax,B,0.085402052,0.377247623,0.268587124,0.044647353,61.69602157,14172.17284,8399.154191,181.9816741,63.07692308,0.6489
2050020,20,12,Nova Scotia / Nouvelle-Écosse,205,12205,Halifax,B,0.625012756,NA,1.527417553,0.080070095,17.18112606,6399.392953,2909.950348,269.7636374,28.7037037,0.09383
2050021,21,12,Nova Scotia / Nouvelle-Écosse,205,12205,Halifax,B,0.57181401,0.381430434,0.237853902,0.058592309,20.1215209,9426.720655,5105.903312,369.7868694,39.23076923,0.3769
2050022,22,12,Nova Scotia / Nouvelle-Écosse,205,12205,Halifax,B,0.720699542,0.481117468,0.468864668,0.113591553,18.98214841,4666.720224,2671.85359,127.6503363,26.89655172,-0.01165
2050007,7,12,Nova Scotia / Nouvelle-Écosse,205,12205,Halifax,B,0.614961886,1.022988681,1.062126484,0.155124962,6.591648026,3994.628954,1450.443542,113.8866781,37.73584906,-0.1979
2050008,8,12,Nova Scotia / Nouvelle-Écosse,205,12205,Halifax,B,0.341739514,1.098733798,1.335875968,0.040418452,58.11678091,13746.19697,7645.023152,232.5670473,34.04255319,0.5974
2050009,9,12,Nova Scotia / Nouvelle-Écosse,205,12205,Halifax,B,0.689175361,0.850762787,0.803829683,0.084872978,17.03104296,9256.970688,5871.51938,255.2834513,44.61538462,0.3881
2050010,10,12,Nova Scotia / Nouvelle-Écosse,205,12205,Halifax,B,0.52365629,0.761401973,0.549977566,0.037179894,46.44176545,15049.95028,8128.646694,280.9164666,26.59574468,0.6575
